iso_code+A75300,continent,location,date,population,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million
AFG,Asia,Afghanistan,2/24/2020,39835428,5,5,,,,,0.126,0.126,,,,,,,,,,,,,
AFG,Asia,Afghanistan,2/25/2020,39835428,5,0,,,,,0.126,0,,,,,,,,,,,,,
AFG,Asia,Afghanistan,2/26/2020,39835428,5,0,,,,,0.126,0,,,,,,,,,,,,,
AFG,Asia,Afghanistan,2/27/2020,39835428,5,0,,,,,0.126,0,,,,,,,,,,,,,
AFG,Asia,Afghanistan,2/28/2020,39835428,5,0,,,,,0.126,0,,,,,,,,,,,,,
AFG,Asia,Afghanistan,2/29/2020,39835428,5,0,0.714,,,,0.126,0,0.018,,,,,,,,,,,,
AFG,Asia,Afghanistan,3/1/2020,39835428,5,0,0.714,,,,0.126,0,0.018,,,,,,,,,,,,
AFG,Asia,Afghanistan,3/2/2020,39835428,5,0,0,,,,0.126,0,0,,,,,,,,,,,,
AFG,Asia,Afghanistan,3/3/2020,39835428,5,0,0,,,,0.126,0,0,,,,,,,,,,,,
AFG,Asia,Afghanistan,3/4/2020,39835428,5,0,0,,,,0.126,0,0,,,,,,,,,,,,
AFG,Asia,Afghanistan,3/5/2020,39835428,5,0,0,,,,0.126,0,0,,,,,,,,,,,,
AFG,Asia,Afghanistan,3/6/2020,39835428,5,0,0,,,,0.126,0,0,,,,,,,,,,,,
AFG,Asia,Afghanistan,3/7/2020,39835428,8,3,0.429,,,,0.201,0.075,0.011,,,,,,,,,,,,
AFG,Asia,Afghanistan,3/8/2020,39835428,8,0,0.429,,,,0.201,0,0.011,,,,,,,,,,,,
AFG,Asia,Afghanistan,3/9/2020,39835428,8,0,0.429,,,,0.201,0,0.011,,,,,,,,,,,,
AFG,Asia,Afghanistan,3/10/2020,39835428,8,0,0.429,,,,0.201,0,0.011,,,,,,,,,,,,
AFG,Asia,Afghanistan,3/11/2020,39835428,11,3,0.857,,,,0.276,0.075,0.022,,,,,,,,,,,,
AFG,Asia,Afghanistan,3/12/2020,39835428,11,0,0.857,,,,0.276,0,0.022,,,,,,,,,,,,
AFG,Asia,Afghanistan,3/13/2020,39835428,11,0,0.857,,,,0.276,0,0.022,,,,,,,,,,,,
AFG,Asia,Afghanistan,3/14/2020,39835428,14,3,0.857,,,,0.351,0.075,0.022,,,,,,,,,,,,
AFG,Asia,Afghanistan,3/15/2020,39835428,20,6,1.714,,,,0.502,0.151,0.043,,,,,,,,,,,,
AFG,Asia,Afghanistan,3/16/2020,39835428,25,5,2.429,,,,0.628,0.126,0.061,,,,,,,,,,,,
AFG,Asia,Afghanistan,3/17/2020,39835428,26,1,2.571,,,,0.653,0.025,0.065,,,,,,,,,,,,
AFG,Asia,Afghanistan,3/18/2020,39835428,26,0,2.143,,,,0.653,0,0.054,,,,,,,,,,,,
AFG,Asia,Afghanistan,3/19/2020,39835428,26,0,2.143,,,,0.653,0,0.054,,,,,,,,,,,,
AFG,Asia,Afghanistan,3/20/2020,39835428,24,-2,1.857,,,,0.602,-0.05,0.047,,,,,,,,,,,,
AFG,Asia,Afghanistan,3/21/2020,39835428,24,0,1.429,,,,0.602,0,0.036,,,,,,,,,,,,
AFG,Asia,Afghanistan,3/22/2020,39835428,34,10,2,,,,0.854,0.251,0.05,,,,,,,,,,,,
AFG,Asia,Afghanistan,3/23/2020,39835428,40,6,2.143,1,1,0.143,1.004,0.151,0.054,0.025,0.025,0.004,,,,,,,,,
AFG,Asia,Afghanistan,3/24/2020,39835428,42,2,2.286,1,0,0.143,1.054,0.05,0.057,0.025,0,0.004,,,,,,,,,
AFG,Asia,Afghanistan,3/25/2020,39835428,74,32,6.857,1,0,0.143,1.858,0.803,0.172,0.025,0,0.004,,,,,,,,,
AFG,Asia,Afghanistan,3/26/2020,39835428,80,6,7.714,2,1,0.286,2.008,0.151,0.194,0.05,0.025,0.007,,,,,,,,,
AFG,Asia,Afghanistan,3/27/2020,39835428,91,11,9.571,2,0,0.286,2.284,0.276,0.24,0.05,0,0.007,,,,,,,,,
AFG,Asia,Afghanistan,3/28/2020,39835428,106,15,11.714,2,0,0.286,2.661,0.377,0.294,0.05,0,0.007,,,,,,,,,
AFG,Asia,Afghanistan,3/29/2020,39835428,114,8,11.429,4,2,0.571,2.862,0.201,0.287,0.1,0.05,0.014,1.51,,,,,,,,
AFG,Asia,Afghanistan,3/30/2020,39835428,114,0,10.571,4,0,0.429,2.862,0,0.265,0.1,0,0.011,1.51,,,,,,,,
AFG,Asia,Afghanistan,3/31/2020,39835428,166,52,17.714,4,0,0.429,4.167,1.305,0.445,0.1,0,0.011,1.52,,,,,,,,
AFG,Asia,Afghanistan,4/1/2020,39835428,192,26,16.857,4,0,0.429,4.82,0.653,0.423,0.1,0,0.011,1.51,,,,,,,,
AFG,Asia,Afghanistan,4/2/2020,39835428,235,43,22.143,4,0,0.286,5.899,1.079,0.556,0.1,0,0.007,1.51,,,,,,,,
AFG,Asia,Afghanistan,4/3/2020,39835428,269,34,25.429,5,1,0.429,6.753,0.854,0.638,0.126,0.025,0.011,1.5,,,,,,,,
AFG,Asia,Afghanistan,4/4/2020,39835428,270,1,23.429,5,0,0.429,6.778,0.025,0.588,0.126,0,0.011,1.49,,,,,,,,
AFG,Asia,Afghanistan,4/5/2020,39835428,299,29,26.429,7,2,0.429,7.506,0.728,0.663,0.176,0.05,0.011,1.49,,,,,,,,
AFG,Asia,Afghanistan,4/6/2020,39835428,337,38,31.857,7,0,0.429,8.46,0.954,0.8,0.176,0,0.011,1.49,,,,,,,,
AFG,Asia,Afghanistan,4/7/2020,39835428,367,30,28.714,11,4,1,9.213,0.753,0.721,0.276,0.1,0.025,1.48,,,,,,,,
AFG,Asia,Afghanistan,4/8/2020,39835428,423,56,33,14,3,1.429,10.619,1.406,0.828,0.351,0.075,0.036,1.48,,,,,,,,
AFG,Asia,Afghanistan,4/9/2020,39835428,444,21,29.857,15,1,1.571,11.146,0.527,0.75,0.377,0.025,0.039,1.48,,,,,,,,
AFG,Asia,Afghanistan,4/10/2020,39835428,521,77,36,15,0,1.429,13.079,1.933,0.904,0.377,0,0.036,1.48,,,,,,,,
AFG,Asia,Afghanistan,4/11/2020,39835428,521,0,35.857,15,0,1.429,13.079,0,0.9,0.377,0,0.036,1.47,,,,,,,,
AFG,Asia,Afghanistan,4/12/2020,39835428,555,34,36.571,18,3,1.571,13.932,0.854,0.918,0.452,0.075,0.039,1.47,,,,,,,,
AFG,Asia,Afghanistan,4/13/2020,39835428,607,52,38.571,19,1,1.714,15.238,1.305,0.968,0.477,0.025,0.043,1.48,,,,,,,,
AFG,Asia,Afghanistan,4/14/2020,39835428,665,58,42.571,22,3,1.571,16.694,1.456,1.069,0.552,0.075,0.039,1.48,,,,,,,,
AFG,Asia,Afghanistan,4/15/2020,39835428,770,105,49.571,25,3,1.571,19.33,2.636,1.244,0.628,0.075,0.039,1.48,,,,,,,,
AFG,Asia,Afghanistan,4/16/2020,39835428,794,24,50,29,4,2,19.932,0.602,1.255,0.728,0.1,0.05,1.47,,,,,,,,
AFG,Asia,Afghanistan,4/17/2020,39835428,845,51,46.286,30,1,2.143,21.212,1.28,1.162,0.753,0.025,0.054,1.47,,,,,,,,
AFG,Asia,Afghanistan,4/18/2020,39835428,908,63,55.286,30,0,2.143,22.794,1.582,1.388,0.753,0,0.054,1.47,,,,,,,,
AFG,Asia,Afghanistan,4/19/2020,39835428,933,25,54,30,0,1.714,23.421,0.628,1.356,0.753,0,0.043,1.47,,,,,,,,
AFG,Asia,Afghanistan,4/20/2020,39835428,996,63,55.571,33,3,2,25.003,1.582,1.395,0.828,0.075,0.05,1.48,,,,,,,,
AFG,Asia,Afghanistan,4/21/2020,39835428,1026,30,51.571,36,3,2,25.756,0.753,1.295,0.904,0.075,0.05,1.49,,,,,,,,
AFG,Asia,Afghanistan,4/22/2020,39835428,1092,66,46,36,0,1.571,27.413,1.657,1.155,0.904,0,0.039,1.5,,,,,,,,
AFG,Asia,Afghanistan,4/23/2020,39835428,1176,84,54.571,40,4,1.571,29.521,2.109,1.37,1.004,0.1,0.039,1.51,,,,,,,,
AFG,Asia,Afghanistan,4/24/2020,39835428,1226,50,54.429,40,0,1.429,30.777,1.255,1.366,1.004,0,0.036,1.53,,,,,,,,
AFG,Asia,Afghanistan,4/25/2020,39835428,1330,104,60.286,43,3,1.857,33.387,2.611,1.513,1.079,0.075,0.047,1.55,,,,,,,,
AFG,Asia,Afghanistan,4/26/2020,39835428,1463,133,75.714,49,6,2.714,36.726,3.339,1.901,1.23,0.151,0.068,1.56,,,,,,,,
AFG,Asia,Afghanistan,4/27/2020,39835428,1531,68,76.429,50,1,2.429,38.433,1.707,1.919,1.255,0.025,0.061,1.57,,,,,,,,
AFG,Asia,Afghanistan,4/28/2020,39835428,1703,172,96.714,60,10,3.429,42.751,4.318,2.428,1.506,0.251,0.086,1.58,,,,,,,,
AFG,Asia,Afghanistan,4/29/2020,39835428,1827,124,105,60,0,3.429,45.864,3.113,2.636,1.506,0,0.086,1.58,,,,,,,,
AFG,Asia,Afghanistan,4/30/2020,39835428,1827,0,93,60,0,2.857,45.864,0,2.335,1.506,0,0.072,1.59,,,,,,,,
AFG,Asia,Afghanistan,5/1/2020,39835428,2171,344,135,64,4,3.429,54.499,8.636,3.389,1.607,0.1,0.086,1.61,,,,,,,,
AFG,Asia,Afghanistan,5/2/2020,39835428,2469,298,162.714,72,8,4.143,61.98,7.481,4.085,1.807,0.201,0.104,1.61,,,,,,,,
AFG,Asia,Afghanistan,5/3/2020,39835428,2469,0,143.714,72,0,3.286,61.98,0,3.608,1.807,0,0.082,1.61,,,,,,,,
AFG,Asia,Afghanistan,5/4/2020,39835428,2469,0,134,72,0,3.143,61.98,0,3.364,1.807,0,0.079,1.61,,,,,,,,
AFG,Asia,Afghanistan,5/5/2020,39835428,2469,0,109.429,72,0,1.714,61.98,0,2.747,1.807,0,0.043,1.62,,,,,,,,
AFG,Asia,Afghanistan,5/6/2020,39835428,3224,755,199.571,95,23,5,80.933,18.953,5.01,2.385,0.577,0.126,1.65,,,,,,,,
AFG,Asia,Afghanistan,5/7/2020,39835428,3392,168,223.571,104,9,6.286,85.15,4.217,5.612,2.611,0.226,0.158,1.63,,,,,,,,
AFG,Asia,Afghanistan,5/8/2020,39835428,3563,171,198.857,105,1,5.857,89.443,4.293,4.992,2.636,0.025,0.147,1.61,,,,,,,,
AFG,Asia,Afghanistan,5/9/2020,39835428,3563,0,156.286,105,0,4.714,89.443,0,3.923,2.636,0,0.118,1.6,,,,,,,,
AFG,Asia,Afghanistan,5/10/2020,39835428,4402,839,276.143,119,14,6.714,110.505,21.062,6.932,2.987,0.351,0.169,1.6,,,,,,,,
AFG,Asia,Afghanistan,5/11/2020,39835428,4664,262,313.571,120,1,6.857,117.082,6.577,7.872,3.012,0.025,0.172,1.57,,,,,,,,
AFG,Asia,Afghanistan,5/12/2020,39835428,4967,303,356.857,127,7,7.857,124.688,7.606,8.958,3.188,0.176,0.197,1.54,,,,,,,,
AFG,Asia,Afghanistan,5/13/2020,39835428,4967,0,249,127,0,4.571,124.688,0,6.251,3.188,0,0.115,1.52,,,,,,,,
AFG,Asia,Afghanistan,5/14/2020,39835428,5339,372,278.143,136,9,4.571,134.026,9.338,6.982,3.414,0.226,0.115,1.51,,,,,,,,
AFG,Asia,Afghanistan,5/15/2020,39835428,6053,714,355.714,153,17,6.857,151.95,17.924,8.93,3.841,0.427,0.172,1.5,,,,,,,,
AFG,Asia,Afghanistan,5/16/2020,39835428,6402,349,405.571,168,15,9,160.711,8.761,10.181,4.217,0.377,0.226,1.47,,,,,,,,
AFG,Asia,Afghanistan,5/17/2020,39835428,6635,233,319,169,1,7.143,166.56,5.849,8.008,4.242,0.025,0.179,1.45,,,,,,,,
AFG,Asia,Afghanistan,5/18/2020,39835428,7072,437,344,173,4,7.571,177.53,10.97,8.636,4.343,0.1,0.19,1.44,,,,,,,,
AFG,Asia,Afghanistan,5/19/2020,39835428,7655,583,384,177,4,7.143,192.166,14.635,9.64,4.443,0.1,0.179,1.42,,,,,,,,
AFG,Asia,Afghanistan,5/20/2020,39835428,8145,490,454,187,10,8.571,204.466,12.301,11.397,4.694,0.251,0.215,1.41,,,,,,,,
